Author,City,Institution,Keywords
Edmundo Tovar,Madrid,Universidad Politecnica de Madrid,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']"
Nelson Piedra,Loja,Universidad Tecnica Particular de Loja,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']"
Janneth Chicaiza,Loja,Universidad Tecnica Particular de Loja,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']"
Jorge Lopez,Loja,Universidad Tecnica Particular de Loja,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']"
Oscar Martinez-Bonastre,Elche,Miguel Hernandez University,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']"
Christian Gütl,Graz,Graz University of Technology,[]
David Lizcano,Madrid,Universidad Politécnica de Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']"
Fernando Alonso,Madrid,Universidad Politécnica de Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']"
Javier Soriano,Madrid,Universidad Politécnica de Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']"
Genoveva López,Madrid,Universidad Politécnica de Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']"
Nadeem Mahmood,Karachi,University of Karachi,"['temporal and fuzzy ontological framework', 'knowledge management systems', 'healthcare systems', 'patient information system', 'temporal and fuzzy database system']"
S. M. Aqil Burney,Karachi,University of Karachi,"['temporal and fuzzy ontological framework', 'knowledge management systems', 'healthcare systems', 'patient information system', 'temporal and fuzzy database system']"
Kamran Ahsan,Stafford,Staffordshire University,"['temporal and fuzzy ontological framework', 'knowledge management systems', 'healthcare systems', 'patient information system', 'temporal and fuzzy database system']"
Jorge Martinez-Gil,Málaga,University of Málaga,"['ontology matching', 'knowledge integration', 'software tools']"
Ismael Navas-Delgado,Málaga,University of Málaga,"['ontology matching', 'knowledge integration', 'software tools']"
Jose F. Aldana-Montes,Málaga,University of Málaga,"['ontology matching', 'knowledge integration', 'software tools']"
Goran Martinovic,Osijek,Josip Juraj Strossmayer University of Osijek,"['benchmark', 'operating system', 'performance evaluation', 'performance measurement', 'Windows 7', 'Windows Vista', 'Windows XP']"
Josip Balen,Osijek,Josip Juraj Strossmayer University of Osijek,"['benchmark', 'operating system', 'performance evaluation', 'performance measurement', 'Windows 7', 'Windows Vista', 'Windows XP']"
Bojan Cukic,Morgantown,West Virginia University,"['benchmark', 'operating system', 'performance evaluation', 'performance measurement', 'Windows 7', 'Windows Vista', 'Windows XP']"
Joaquin Olivares,Cordoba,University of Cordoba,"['video', 'high-speed arithmetics', 'parallel architectures', 'special-purpose and application-based systems']"
Guillermo Vega-Gorgojo,Valladolid,University of Valladolid,"['C.2.4', 'H.3.3', 'K.3.1']"
Eduardo Gómez-Sánchez,Valladolid,University of Valladolid,"['C.2.4', 'H.3.3', 'K.3.1']"
Miguel L. Bote-Lorenzo,Valladolid,University of Valladolid,"['C.2.4', 'H.3.3', 'K.3.1']"
Lorenzo Cantoni,Lugano,Università della Svizzera italiana,[]
Isabella Rega,Lugano,Università della Svizzera italiana,[]
Stefan Minder,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']"
Michele Notari,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']"
Felix Schmitz,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']"
Rainer Hofer,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']"
Ulrich Woermann,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']"
Mike Tissenbaum,Toronto,Ontario Institute for Studies in Education,"['future classrooms', 'science education']"
Michelle Lui,Toronto,Ontario Institute for Studies in Education,"['future classrooms', 'science education']"
James D. Slotta,Toronto,Ontario Institute for Studies in Education,"['future classrooms', 'science education']"
Luca Botturi,Locarno,University of Applied Sciences of Southern Switzerland,"['gender', 'digital divide', 'college', 'Switzerland']"
Chiara Bramani,Lugano,University of Lugano,"['gender', 'digital divide', 'college', 'Switzerland']"
Sean McCusker,Durham,Durham University,"['gender', 'digital divide', 'college', 'Switzerland']"
Paolo Ferri,Milan,University of Milan,"['social networks', 'Web 2.0', 'digital natives', 'personal learning environments']"
Andrea Pozzali,Rome,University of Milan,"['social networks', 'Web 2.0', 'digital natives', 'personal learning environments']"
Jue Wang,Genève,University of Geneva,"['foreign language teaching and learning', 'tandem language learning', 'telecollaboration', 'intercultural competence', 'peer-to-peer correction', 'tutoring', 'design-based research']"
Claudia Berger,Genève,University of Geneva,"['foreign language teaching and learning', 'tandem language learning', 'telecollaboration', 'intercultural competence', 'peer-to-peer correction', 'tutoring', 'design-based research']"
Nicolas Szilas,Genève,University of Geneva,"['foreign language teaching and learning', 'tandem language learning', 'telecollaboration', 'intercultural competence', 'peer-to-peer correction', 'tutoring', 'design-based research']"
Isabella Rega,Lugano,Università della Svizzera italiana,"['ICT', 'teacher training', 'self-efficacy', 'quantitative methods', 'qualitative methods', 'disadvantaged contexts', 'ICT4E']"
Francesca Fanni,Lugano,Università della Svizzera italiana,"['ICT', 'teacher training', 'self-efficacy', 'quantitative methods', 'qualitative methods', 'disadvantaged contexts', 'ICT4E']"
Izak van Zyl,Lugano,Università della svizzera italiana,"['home-based healthcare', 'informal learning', 'digital technologies', 'socio-cultural dynamics']"
