Author,City,Institution,Keywords
Josep Blat,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']"
María Blanca Ibáñez,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']"
David Maroto,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']"
José Jesús García Rueda,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']"
Derick Leony,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']"
Carlos Delgado Kloos,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']"
Christian Gütl,Graz,Graz University of Technology,[]
Daniel Găină,Nomi,Japan Advanced Institute of Science and Technology,"['institution', 'Horn logic', 'proof theory', 'completeness', 'induction', 'constructor']"
Kokichi Futatsugi,Nomi,Japan Advanced Institute of Science and Technology,"['institution', 'Horn logic', 'proof theory', 'completeness', 'induction', 'constructor']"
Kazuhiro Ogata,Nomi,Japan Advanced Institute of Science and Technology,"['institution', 'Horn logic', 'proof theory', 'completeness', 'induction', 'constructor']"
Tarek F. Gharib,Jeddah,King Abdulaziz University,"['semantic web', 'ontology', 'corpus', 'word senses', 'word sense disambiguation (WSD)', 'coarse-grained word senses']"
Nagwa Badr,Cairo,Ain Shams University,"['semantic web', 'ontology', 'corpus', 'word senses', 'word sense disambiguation (WSD)', 'coarse-grained word senses']"
Shaimaa Haridy,Cairo,Ain Shams University,"['semantic web', 'ontology', 'corpus', 'word senses', 'word sense disambiguation (WSD)', 'coarse-grained word senses']"
Ajith Abraham,ashington,Machine Intelligence Research Labs (MIR Labs),"['semantic web', 'ontology', 'corpus', 'word senses', 'word sense disambiguation (WSD)', 'coarse-grained word senses']"
David Griffiths,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']"
Mark William Johnson,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']"
Kris Popat,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']"
Paul Sharples,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']"
Scott Wilson,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']"
Rob J.M. Hartog,Wageningen,Wageningen University,"['activating digital learning resources', 'learning objects', 'requirements engineering', 'design-oriented research', 'large-scale use']"
Adrie J.M. Beulens,Wageningen,Wageningen University,"['activating digital learning resources', 'learning objects', 'requirements engineering', 'design-oriented research', 'large-scale use']"
Johannes Tramper,Wageningen,Wageningen University,"['activating digital learning resources', 'learning objects', 'requirements engineering', 'design-oriented research', 'large-scale use']"
Atif Latif,Kiel,Leibniz Information Center for Economics,[]
Muhammad Tanvir Afzal,Islamabad,Mohammad Ali Jinnah University,[]
Hermann Maurer,Graz,Graz University of Technology,[]
María-Teresa Martín-Valdivia,Jaén,University of Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']"
Arturo Montejo-Ráez,Jaén,University of Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']"
Alfonso Ureña-López,Jaén,University of Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']"
Mohammed Rushdi Saleh,Jaén,University of Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']"
Javier Melero,Barcelona,Universitat Pompeu Fabra,"['literature review', 'ICT Engineering Education', 'teaching and learning strategies', 'constructivism', 'scaffolding']"
Davinia Hernández-Leo,Barcelona,Universitat Pompeu Fabra,"['literature review', 'ICT Engineering Education', 'teaching and learning strategies', 'constructivism', 'scaffolding']"
Josep Blat,Barcelona,Universitat Pompeu Fabra,"['literature review', 'ICT Engineering Education', 'teaching and learning strategies', 'constructivism', 'scaffolding']"
Hui Ma,Wellington,Victoria University of Wellington,[]
Klaus-Dieter Schewe,Linz,Johannes Kepler University Linz,[]
Bernhard Thalheim,Kiel,Christian Albrechts University Kiel,[]
Qing Wang,Canberra,Australian National University,[]
Juan M. Vara,Madrid,Rey Juan Carlos University,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']"
Vasilios Andrikopoulos,Stuttgart,University of Stuttgart,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']"
Michael P. Papazoglou,Tilburg,Tilburg University,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']"
Esperanza Marcos,Madrid,Rey Juan Carlos University,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']"
Jorge Roa,Santa Fe,Universidad Tecnológica Nacional,"['verification', 'choreography', 'Web service', 'business process']"
Pablo Villarreal,Santa Fe,Universidad Tecnológica Nacional,"['verification', 'choreography', 'Web service', 'business process']"
Omar Chiotti,Santa Fe,INGAR-CONICET,"['verification', 'choreography', 'Web service', 'business process']"
Jose Ignacio Fernández-Villamor,Madrid,Universidad Politécnica de Madrid,"['mashups', 'services', 'widgets', 'components', 'discovery', 'integration']"
Carlos Á. Iglesias,Madrid,Universidad Politécnica de Madrid,"['mashups', 'services', 'widgets', 'components', 'discovery', 'integration']"
Mercedes Garijo,Madrid,Universidad Politécnica de Madrid,"['mashups', 'services', 'widgets', 'components', 'discovery', 'integration']"
Ji Ma,Hagenberg,Software Competence Center Hagenberg,"['risk assessment', 'access control', 'RBAC', 'poset', 'security classification']"
Ajantha Dahanayake,Riyadh,Prince Sultan University,"['service systems', 'conceptual modelling', 'IT service systems', 'Web-based services', 'classical rhetorical frame', 'Hermagoras of Temnos', 'conceptual model for services']"
Bernhard Thalheim,Kiel,(Christian-Albrechts University of Kiel,"['service systems', 'conceptual modelling', 'IT service systems', 'Web-based services', 'classical rhetorical frame', 'Hermagoras of Temnos', 'conceptual model for services']"
Valeria de Castro,Madrid,Rey Juan Carlos University,"['service-oriented', 'model-driven development', 'Web information systems']"
Juan Manuel Vara,Madrid,Rey Juan Carlos University,"['service-oriented', 'model-driven development', 'Web information systems']"
Esperanza Marcos,Madrid,Rey Juan Carlos University,"['service-oriented', 'model-driven development', 'Web information systems']"
Hongming Cai,Shanghai,Shanghai Jiao Tong University,"['conceptual model', 'software engineering', 'information systems', 'ontology', 'resource oriented architecture', 'business process', 'service composition']"
Boyi Xu,Shanghai,Shanghai Jiao Tong University,"['conceptual model', 'software engineering', 'information systems', 'ontology', 'resource oriented architecture', 'business process', 'service composition']"
Fenglin Bu,Shanghai,Shanghai Jiao Tong University,"['conceptual model', 'software engineering', 'information systems', 'ontology', 'resource oriented architecture', 'business process', 'service composition']"
Carlos Delgado Kloos,Madrid,Universidad Carlos III de Madrid,[]
Christian Gütl,Graz,Graz University of Technology,[]
Frank Kappe,Graz,Graz University of Technology,[]
David Griol,Leganés,Carlos III University of Madrid,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']"
José Manuel Molina,Leganés,Carlos III University of Madrid,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']"
Araceli Sanchis de Miguel,Leganés,Carlos III University of Madrid,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']"
Zoraida Callejas,Granada,University of Granada,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']"
Nathan Labhart,Zürich,University of Zurich,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']"
Béatrice S. Hasler,Herzliya,Interdisciplinary Center Herzliya,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']"
Andy Zbinden,Zürich,SWITCH,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']"
Andreas Schmeil,Lugano,University of Lugano,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']"
María Blanca Ibáñez,Leganés,Universidad Carlos III de Madrid,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']"
José Jesús Garcia Rueda,Leganés,Universidad Carlos III de Madrid,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']"
Diego Morillo,Leganés,Universidad Carlos III de Madrid,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']"
Carlos Delgado Kloos,Leganés,Universidad Carlos III de Madrid,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']"
Pilar Sancho,Madrid,Complutense University of Madrid,"['computer supported collaborative learning', 'problem based learning', 'learning in multi-user virtual environments']"
Javier Torrente,Madrid,Complutense University of Madrid,"['computer supported collaborative learning', 'problem based learning', 'learning in multi-user virtual environments']"
Baltasar Fernández-Manjón,Madrid,Complutense University of Madrid,"['computer supported collaborative learning', 'problem based learning', 'learning in multi-user virtual environments']"
Alok Mishra,Ankara,Atilim University,[]
Jürgen Münch,Helsinki,University of Helsinki,[]
Deepti Mishra,Ankara,Atilim University,[]
José Luis Hernández,Ciudad Real,University of Castilla-La Mancha,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']"
Aurora Vizcaíno,Ciudad Real,University of Castilla-La Mancha,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']"
Ismael Caballero,Ciudad Real,University of Castilla-La Mancha,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']"
Gabriela Aranda,Neuquen,National University of Comahue,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']"
George M. Giaglis,Athens,Athens University of Economics and Business,"['FLOSS', 'open source development', 'virtual teams', 'distributed work', 'FreeBSD']"
Diomidis Spinellis,Athens,Athens University of Economics and Business,"['FLOSS', 'open source development', 'virtual teams', 'distributed work', 'FreeBSD']"
Ricardo Colomo-Palacios,Leganes,Universidad Carlos III de Madrid,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']"
Pedro Soto-Acosta,Murcia,Universidad de Murcia,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']"
Francisco J. García-Peñalvo,Salamanca,Universidad de Salamanca,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']"
Ángel García-Crespo,Leganes,Universidad Carlos III de Madrid,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']"
Luis Iribarne,University of Almeria,University of Almeria,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']"
Nicolas Padilla,Almeria,University of Almeria,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']"
Javier Criado,Almeria,University of Almeria,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']"
Cristina Vicente-Chicote,Cartagena,Technical University of Cartagena,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']"
Gislaine Camila Lapasini Leal,Maringa,State University of Maringa,"['global software development', 'software process', 'test']"
Ana Paula Chaves,Campo Mourao,Federal Technological University of Parana,"['global software development', 'software process', 'test']"
Elisa Hatsue Moriya Huzita,Maringa,State University of Maringa,"['global software development', 'software process', 'test']"
Marcio Eduardo Delamaro,Sao Carlos,University of Sao Paulo,"['global software development', 'software process', 'test']"
Anuradha Mathrani,Auckland,Massey University,"['distributed knowledge management', 'Tacit', 'Explicit', 'Experience Capture', 'Software Development']"
David Parsons,Auckland,Massey University,"['distributed knowledge management', 'Tacit', 'Explicit', 'Experience Capture', 'Software Development']"
Sanjay Mathrani,Auckland,Massey University,"['distributed knowledge management', 'Tacit', 'Explicit', 'Experience Capture', 'Software Development']"
Deepti Mishra,Ankara,Atilim University Incek,"['global software development', 'distributed software development', 'software inspection', 'tool', 'software quality']"
Alok Mishra,Ankara,Atilim University Incek,"['global software development', 'distributed software development', 'software inspection', 'tool', 'software quality']"
Christian Gütl,Graz,Graz University of Technology,[]
Lutz Prechelt,Berlin,Freie Universität Berlin,"['FNR', 'failures', 'forum', 'negative results']"
Mushtaq Ahmad,Pretoria,University of Pretoria,"['MPEG spelling variations', 'mapping', 'phonetic algorithms']"
Stefan Gruner,Pretoria,University of Pretoria,"['MPEG spelling variations', 'mapping', 'phonetic algorithms']"
Luiz F. Bittencourt,Campinas,University of Campinas,"['load balancing', 'Nash equilibrium', 'game theory']"
Flávio K. Miyazawa,Campinas,University of Campinas,"['load balancing', 'Nash equilibrium', 'game theory']"
André L. Vignatti,Campinas,University of Campinas,"['load balancing', 'Nash equilibrium', 'game theory']"
Dario Della Monica,Reykjavik,Reykjavik University,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']"
Valentin Goranko,Copenhagen,Technical Institute of Denmark,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']"
Angelo Montanari,Udine,University of Udine,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']"
Guido Sciavicco,Murcia,University of Murcia,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']"
Daewon Kim,Cheonan,Dankook University,"['mobile', 'augmented reality', 'image', 'object', 'recognition']"
Doosung Hwang,Cheonan,Dankook University,"['mobile', 'augmented reality', 'image', 'object', 'recognition']"
Jonas Lundberg,Vaxjo,Linnaeus University,"['static program analysis', 'points-to analysis', 'context sensitivity']"
Welf Lowe,Vaxjo,Linnaeus University,"['static program analysis', 'points-to analysis', 'context sensitivity']"
Iosif Petrakis,München,Ludwig-Maximilians Universität München,"['constructive mathematics', 'countable choice']"
Vladimir Tarasov,Jönköping,Jönköping University,"['competence', 'competence managemen', 'competence profile', 'formalisation', 'ontology-based profile', 'OWL', 'Jena']"
Anton V. Uzunov,Adelaide,University of Adelaide,"['computer security', 'security engineering', 'secure software engineering', 'distributed systems', 'security methodologies', 'model driven security', 'secure software architectures', 'security patterns', 'model-based development', 'survey']"
Eduardo B. Fernandez,Boca Raton,Florida Atlantic University,"['computer security', 'security engineering', 'secure software engineering', 'distributed systems', 'security methodologies', 'model driven security', 'secure software architectures', 'security patterns', 'model-based development', 'survey']"
Katrina Falkner,Adelaide,University of Adelaide,"['computer security', 'security engineering', 'secure software engineering', 'distributed systems', 'security methodologies', 'model driven security', 'secure software architectures', 'security patterns', 'model-based development', 'survey']"
