source,source_location,Content,target,target_location,Other places,Etude Notaire,Cote ADLA,Nature acte,Date,source_coordinates,source_address,target_coordinates,target_address
Hubert Antheaume,"Saint Nicolas, Nantes",Commerce,Bernard Godin,Ile Saint Domingue,,Verger,4/2E/1951,Engagement,11/02/1671,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.5710107 47.2017486),"Rue de Saint-Domingue, 44276, Nantes, Pays de la Loire, France"
Jean Chesneau,Ancenis,Travail,? Belliotte,Saint Nazaire,,Verger,4/2E/1951,Engagement,11/02/1671,POINT (-1.1816088 47.3648141),"Ancenis, Ancenis-Saint-Géréon, Châteaubriant-Ancenis, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44150, France",POINT (-2.2138905 47.2733517),"Saint-Nazaire, 44600, Pays de la Loire, France"
Jean Chesneau,Ancenis,Travail,Bernard Godin,Ile Saint Domingue,,Verger,4/2E/1951,Engagement,11/02/1671,POINT (-1.1816088 47.3648141),"Ancenis, Ancenis-Saint-Géréon, Châteaubriant-Ancenis, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44150, France",POINT (-1.5710107 47.2017486),"Rue de Saint-Domingue, 44276, Nantes, Pays de la Loire, France"
Jérôme de Vocelle,Ile de la Tortue, ,Jean Grouart,Ile de la Tortue,,Verger,4/2E/1951,Procuration,23/02/1671,POINT (-72.7047665 20.0318452),"Île de La Tortue, Arrondissement Port-de-Paix, Département du Nord-Ouest, Ayiti",POINT (-72.78558701359961 20.04100355),"Île de la Tortue, Ayiti"
Hubert Antheaume,"Saint Nicolas, Nantes",Finance ,Jérôme de Vocelle,Ile de la Tortue,,Verger,4/2E/1951,Procuration,23/02/1671,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-72.78558701359961 20.04100355),"Île de la Tortue, Ayiti"
Marie Boucher,"Saint Nicolas, Nantes",Famille,Hubert Antheaume,"Saint Nicolas, Nantes",,Verger,4/2E/1951,Procuration,11/03/1671,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Marie Boucher,"Saint Nicolas, Nantes",Famille,Madeleine Boucher,"Saint Nicolas, Nantes",,Verger,4/2E/1951,Procuration,11/03/1671,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Hubert Antheaume,"Saint Nicolas, Nantes",Famille,Madeline Boucher,"Saint Nicolas, Nantes",,Verger,4/2E/1951,Procuration,11/03/1671,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Marie Boucher,"Saint Nicolas, Nantes",Commerce,Hubert Antheaume,"Saint Nicolas, Nantes",,Verger,4/2E/1951,Procuration,11/03/1671,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Marie Boucher,"Saint Nicolas, Nantes",Commerce,Madeleine Boucher,"Saint Nicolas, Nantes",,Verger,4/2E/1951,Procuration,11/03/1671,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Hubert Antheaume,"Saint Nicolas, Nantes",Commerce,Madeline Boucher,"Saint Nicolas, Nantes",,Verger,4/2E/1951,Procuration,11/03/1671,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Marie Boucher,"Saint Nicolas, Nantes",Famille,Roze Boucher,"Saint Nicolas, Nantes",,Verger,4/2E/1953,Déclaration,28/01/1672,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Marie Boucher,"Saint Nicolas, Nantes",Commerce,Roze Boucher,"Saint Nicolas, Nantes",,Verger,4/2E/1953,Déclaration,28/01/1672,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
