source_location,target_location
POINT (-77.7813836 42.0881244),POINT (59.3924609 39.3763807)
POINT (-77.7813836 42.0881244),POINT (44.6736646 40.7696272)
POINT (-77.7813836 42.0881244),POINT (70.8156541 38.6281733)
POINT (-77.7813836 42.0881244),POINT (27.6971358 53.4250605)
POINT (-77.7813836 42.0881244),POINT (97.7453061 64.6863136)
POINT (-77.7813836 42.0881244),POINT (47.7872508 40.3936294)
POINT (-77.7813836 42.0881244),POINT (28.5670941 47.2879608)
POINT (-77.7813836 42.0881244),POINT (-83.1137366 32.3293809)
POINT (63.9528098 41.32373),POINT (74.724091 41.5089324)
POINT (63.9528098 41.32373),POINT (31.2718321 49.4871968)
POINT (63.9528098 41.32373),POINT (66.7780818 48.1012954)
POINT (63.9528098 41.32373),POINT (59.3924609 39.3763807)
POINT (63.9528098 41.32373),POINT (44.6736646 40.7696272)
POINT (63.9528098 41.32373),POINT (70.8156541 38.6281733)
POINT (63.9528098 41.32373),POINT (27.6971358 53.4250605)
POINT (63.9528098 41.32373),POINT (97.7453061 64.6863136)
POINT (63.9528098 41.32373),POINT (47.7872508 40.3936294)
POINT (63.9528098 41.32373),POINT (28.5670941 47.2879608)
POINT (63.9528098 41.32373),POINT (-83.1137366 32.3293809)
POINT (74.724091 41.5089324),POINT (31.2718321 49.4871968)
POINT (74.724091 41.5089324),POINT (66.7780818 48.1012954)
POINT (74.724091 41.5089324),POINT (59.3924609 39.3763807)
POINT (74.724091 41.5089324),POINT (44.6736646 40.7696272)
POINT (74.724091 41.5089324),POINT (70.8156541 38.6281733)
POINT (74.724091 41.5089324),POINT (27.6971358 53.4250605)
POINT (74.724091 41.5089324),POINT (97.7453061 64.6863136)
POINT (74.724091 41.5089324),POINT (47.7872508 40.3936294)
POINT (74.724091 41.5089324),POINT (28.5670941 47.2879608)
POINT (74.724091 41.5089324),POINT (-83.1137366 32.3293809)
POINT (31.2718321 49.4871968),POINT (66.7780818 48.1012954)
POINT (31.2718321 49.4871968),POINT (59.3924609 39.3763807)
POINT (31.2718321 49.4871968),POINT (44.6736646 40.7696272)
POINT (31.2718321 49.4871968),POINT (70.8156541 38.6281733)
POINT (31.2718321 49.4871968),POINT (27.6971358 53.4250605)
POINT (31.2718321 49.4871968),POINT (97.7453061 64.6863136)
POINT (31.2718321 49.4871968),POINT (47.7872508 40.3936294)
POINT (31.2718321 49.4871968),POINT (28.5670941 47.2879608)
POINT (31.2718321 49.4871968),POINT (-83.1137366 32.3293809)
POINT (66.7780818 48.1012954),POINT (59.3924609 39.3763807)
POINT (66.7780818 48.1012954),POINT (44.6736646 40.7696272)
POINT (66.7780818 48.1012954),POINT (70.8156541 38.6281733)
POINT (66.7780818 48.1012954),POINT (27.6971358 53.4250605)
POINT (66.7780818 48.1012954),POINT (97.7453061 64.6863136)
