Author,City,Keywords,coordinates
Feiyu Lin,Changzhou,"['Internet of Things', 'context-aware computing', 'ontology matching']",POINT (119.9691539 31.8122623)
Kurt Sandkuhl,Rostock,"['Internet of Things', 'context-aware computing', 'ontology matching']",POINT (12.1400211 54.0886707)
Shoukun Xu,Changzhou,"['Internet of Things', 'context-aware computing', 'ontology matching']",POINT (119.9691539 31.8122623)
Huansheng Ning,Beijing,"['Internet of things', 'security', 'authentication protocol', 'directed path']",POINT (116.412144 40.190632)
Hong Liu,Beijing,"['Internet of things', 'security', 'authentication protocol', 'directed path']",POINT (116.412144 40.190632)
Qing Liu,Nanjing,"['Internet of things', 'security', 'authentication protocol', 'directed path']",POINT (118.7788631 32.0438284)
Genlin Ji,Nanjing,"['Internet of things', 'security', 'authentication protocol', 'directed path']",POINT (118.7788631 32.0438284)
Jian Chen,Tokorozawa,[],POINT (139.4687478 35.7994271)
Qun Jin,Tokorozawa,[],POINT (139.4687478 35.7994271)
Runhe Huang,Tokyo,[],POINT (139.7439399 35.6847397)
Bratislav Predic,Nis,"['traffic information systems', 'extended floating car data', 'accelerometer data', 'vehicle tracking']",POINT (21.8959232 43.3211301)
Dragan Stojanovic,Nis,"['traffic information systems', 'extended floating car data', 'accelerometer data', 'vehicle tracking']",POINT (21.8959232 43.3211301)
Xingang Liu,Chengdu,"['wireless multimedia sensor', 'H.264/AVC', 'intraframe coding', 'complexity']",POINT (104.0708278 30.7001324)
Jiantan Liu,Kyungsan,"['wireless multimedia sensor', 'H.264/AVC', 'intraframe coding', 'complexity']",POINT (128.5730099 35.8715091)
Kook-Yeol Yoo,Kyungsan,"['wireless multimedia sensor', 'H.264/AVC', 'intraframe coding', 'complexity']",POINT (128.5730099 35.8715091)
Haengrae Cho,Kyungsan,"['wireless multimedia sensor', 'H.264/AVC', 'intraframe coding', 'complexity']",POINT (128.5730099 35.8715091)
Qiang Liu,Beijing,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']",POINT (116.412144 40.190632)
Min Chen,Seoul,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']",POINT (126.9782914 37.5666791)
Jie Zhang,Beijing,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']",POINT (116.412144 40.190632)
Bingwen Shen,Beijing,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']",POINT (116.412144 40.190632)
Zhong Chu,Beijing,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']",POINT (116.412144 40.190632)
Xiaojun Qian,Nanjing,"['Internet of Things', 'mobile computing', 'security', 'elliptic curve cryptography']",POINT (118.7788631 32.0438284)
Xiaoping Che,Paris,"['Internet of Things', 'mobile computing', 'security', 'elliptic curve cryptography']",POINT (2.3200410217200766 48.8588897)
Christian Gütl,Graz,[],POINT (15.4382786 47.0708678)
Robert Bucki,Bielsko-Biała,[],POINT (19.0448936 49.822118)
Petr Suchanek,Opava,[],POINT (17.9024174 49.9389004)
Marijana Despotović-Zrakić,Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']",POINT (-111.184535 45.773279)
Dusan Barać,Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']",POINT (-111.184535 45.773279)
Zorica Bogdanović,Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']",POINT (-111.184535 45.773279)
Branislav Jovanić,Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']",POINT (-111.184535 45.773279)
Božidar Radenković,Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']",POINT (-111.184535 45.773279)
