ParticipantID,GroupID,Group,Technique,Question,Task,Training,Answer,Time
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q1,8,False,Hanover,2.367
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q2,1,True,Ireland,9.189
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q2,2,True,England,3.564
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q2,3,False,Ireland,5.097
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q2,4,False,Ireland,4.364
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q2,5,False,Ireland,3.495
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q2,6,False,Ireland,2.603
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q2,7,False,Ireland,3.801
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q2,8,False,England,2.941
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q3,1,True,Hannover - Leipzig,1.605
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q3,2,True,Hannover - Leipzig,2.077
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q3,3,False,Hannover - Leipzig,2.313
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q3,4,False,Hannover - Leipzig,2.195
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q3,5,False,Hannover - Leipzig,2.251
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q3,6,False,Hannover - Leipzig,1.942
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q3,7,False,Hamburg - Berlin,2.357
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q3,8,False,Hamburg - Berlin,1.997
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q4,1,True,Germany - Poland,3.861
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q4,2,True,Spain - France,2.091
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q4,3,False,Spain - France,3.1
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q4,4,False,Germany - Poland,1.813
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q4,5,False,Germany - Poland,1.81
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q4,6,False,Germany - Poland,1.712
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q4,7,False,Germany - Poland,2.108
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q4,8,False,Spain - France,1.605
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q1,1,True,Munich,2.328
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q1,2,True,Leipzig,5.481
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q1,3,False,Munich,2.467
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q1,4,False,Hanover,1.7
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q1,5,False,Stuttgart,2.328
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q1,6,False,Cologne,2.109
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q1,7,False,Hanover,3.067
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q1,8,False,Hanover,2.866
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q2,1,True,Ireland,2.51
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q2,2,True,England,2.297
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q2,3,False,Ireland,2.306
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q2,4,False,Ireland,5.345
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q2,5,False,Ireland,2.221
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q2,6,False,England,2.194
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q2,7,False,Ireland,1.881
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q2,8,False,England,3.302
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q3,1,True,Hannover - Leipzig,2.099
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q3,2,True,Hannover - Leipzig,2.125
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q3,3,False,Hannover - Leipzig,1.65
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q3,4,False,Hannover - Leipzig,1.662
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q3,5,False,Hannover - Leipzig,1.48
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q3,6,False,Hannover - Leipzig,1.859
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q3,7,False,Hamburg - Berlin,2.989
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q3,8,False,Hamburg - Berlin,1.643
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q4,1,True,Germany - Poland,2.093
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q4,2,True,Spain - France,1.543
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q4,3,False,Spain - France,4.705
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q4,4,False,Spain - France,1.896
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q4,5,False,Germany - Poland,1.877
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q4,6,False,Germany - Poland,1.578
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q4,7,False,Germany - Poland,1.487
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Sunflower,Q4,8,False,Spain - France,2.002
